video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
6,1,11,0,56,1,22600.0,1,1,0,0,1
6,0,17,0,51,0,305000.0,1,1,0,0,1
13,1,3,6,24,1,480000.0,1,1,0,0,1
6,0,12,1,79,1,29700.0,1,1,0,0,1
10,1,16,6,42,0,11300.0,1,1,0,0,1
10,0,2,3,49,1,24500.0,1,1,0,1,1
6,0,1,4,18,1,11600.0,1,1,0,0,1
6,1,16,6,76,1,1340000.0,1,1,0,0,1
6,1,2,4,100,0,12400.0,1,1,0,0,1
6,1,10,6,53,0,181000.0,1,1,0,0,1
6,0,5,4,59,1,8420000.0,1,1,0,0,2
9,1,10,2,72,1,474000.0,1,1,0,0,1
6,1,13,3,32,1,22000.0,1,1,0,0,1
2,0,4,5,61,1,29900.0,1,1,0,1,3
6,1,15,0,76,1,69700.0,1,1,0,0,1
6,1,8,1,80,0,71700.0,1,0,0,0,1
4,1,8,5,23,1,2510000.0,1,1,0,1,1
10,1,12,4,50,0,65400.0,1,1,0,0,1
6,1,3,5,59,1,271000.0,1,1,0,0,1
6,0,11,2,44,1,110000.0,1,1,0,0,1
6,0,2,5,48,1,11500.0,1,1,0,0,1
6,0,10,0,22,0,25600.0,1,1,0,0,1
8,1,13,6,63,1,808000.0,1,1,0,1,3
6,1,6,6,18,0,44400.0,1,1,0,0,1
10,1,9,3,28,1,119000000.0,1,1,0,1,3
6,0,9,4,15,0,6370.0,1,1,0,0,1
4,1,4,2,23,1,1770000.0,1,1,0,1,1
6,0,7,1,44,0,580000.0,1,1,0,0,1
4,1,0,6,92,1,17600.0,1,1,0,0,1
6,1,9,3,26,1,2020.0,1,1,0,0,1
6,0,12,3,85,1,62900.0,1,1,0,0,1
6,1,10,3,34,1,317000.0,1,1,0,0,1
2,0,13,2,47,1,782000.0,1,1,0,0,1
4,0,10,1,12,0,1080000.0,1,1,0,0,1
6,0,9,2,42,1,248000.0,1,1,0,0,1
8,0,13,4,58,1,859.0,1,1,0,0,1
6,1,10,2,35,1,29100.0,1,1,0,0,1
6,0,12,0,65,1,56200.0,1,1,0,0,1
6,1,4,3,25,1,196000.0,1,1,0,0,1
4,1,9,5,93,1,3810000.0,1,1,0,0,1
13,1,13,3,73,1,2930000.0,1,1,0,0,1
6,1,7,3,41,1,31700.0,1,1,0,0,1
13,0,14,6,54,1,194000.0,1,1,0,0,2
6,1,22,6,98,1,53100.0,1,1,0,0,1
8,1,12,3,53,1,163000.0,1,1,0,0,1
10,0,20,4,49,0,10200.0,1,1,0,0,2
14,1,13,6,15,1,34000.0,1,1,0,1,1
6,1,10,3,35,1,80100.0,1,1,0,0,1
8,1,13,1,47,1,3730000.0,1,1,0,1,1
6,0,10,4,21,1,20300.0,1,1,0,0,1
6,0,16,4,25,1,278000.0,1,1,0,0,1
8,1,5,2,31,1,4160000.0,1,1,0,0,3
6,0,19,1,39,1,112000.0,1,1,0,0,1
5,1,11,0,60,1,11800.0,1,1,0,0,1
10,1,7,1,41,1,19200.0,1,1,0,0,1
6,1,13,0,67,1,195000.0,1,1,0,0,1
6,1,13,5,31,0,532000.0,1,1,0,0,1
10,1,12,0,60,0,15200.0,1,1,0,0,1
6,1,10,3,87,1,52200.0,1,1,0,0,1
6,1,15,6,29,0,11300.0,1,0,0,0,1
4,0,9,2,63,1,3870000.0,1,1,0,0,1
10,1,10,6,59,0,1230000.0,1,1,0,0,1
6,1,11,3,21,1,758000.0,1,1,0,0,1
6,1,9,2,36,1,385000.0,1,1,0,0,1
8,0,14,1,3,0,49800.0,1,1,0,0,1
6,1,12,0,22,1,37000000.0,1,1,0,0,3
10,1,9,1,6,0,15800.0,1,1,0,0,1
10,1,8,4,89,1,60200.0,1,1,0,0,1
8,1,12,4,42,0,12200.0,1,1,0,0,1
10,0,15,0,34,1,41700.0,1,1,0,1,1
10,1,5,0,56,0,56.0,1,0,0,0,1
10,1,2,4,87,0,78300.0,1,1,0,0,1
9,1,10,4,49,1,379000.0,1,1,0,0,1
10,1,3,1,5,1,24900.0,1,1,0,1,1
6,0,10,2,49,0,15200.0,1,1,0,0,1
5,1,11,2,31,1,144000.0,1,1,0,0,1
8,1,23,4,2,1,1420.0,1,1,0,0,1
6,0,3,3,36,1,26300.0,0,1,0,0,1
4,1,12,3,10,0,1050000.0,1,1,0,1,2
6,1,9,0,50,1,524000.0,1,1,0,0,1
9,1,8,4,100,1,462000.0,1,1,0,0,1
6,1,10,0,51,1,317000.0,1,1,0,0,1
6,1,19,2,49,1,1220000.0,1,1,0,0,3
6,1,2,6,37,0,192000.0,1,1,0,0,1
6,0,9,5,30,1,52100.0,1,1,0,0,1
6,1,13,4,51,1,57000.0,1,1,0,0,1
6,1,13,5,40,1,326000.0,1,1,0,0,1
6,1,2,2,31,1,172000.0,1,1,0,0,1
6,1,11,6,34,1,226000.0,1,1,0,0,1
6,1,10,1,31,1,607000.0,1,1,0,0,1
6,1,16,1,36,1,17700.0,1,1,0,0,1
6,0,11,6,37,0,1000000.0,1,1,0,0,1
6,1,4,4,87,1,195000.0,1,1,0,0,1
7,1,17,0,33,1,332000.0,1,1,0,0,1
8,1,15,1,37,1,78100000.0,1,1,0,0,3
14,1,11,6,45,1,348000.0,1,1,0,0,3
10,1,4,3,86,0,123000.0,1,1,0,0,1
8,0,13,0,39,1,244000.0,1,1,0,0,2
8,1,16,3,8,1,14100.0,1,1,0,0,1
6,0,9,0,36,0,123000.0,1,1,0,0,1
4,1,8,5,59,1,222000.0,1,1,0,1,1
6,1,14,4,43,0,31500.0,1,1,0,0,1
8,1,10,3,7,1,487.0,1,1,0,0,1
6,1,15,5,59,1,6810000.0,1,0,0,0,3
6,1,10,0,9,1,269000.0,1,1,0,0,1
6,0,19,6,73,0,194000.0,1,1,0,0,1
9,0,15,6,31,1,2750000.0,1,1,0,1,2
6,1,16,5,60,1,2740000.0,1,1,0,0,2
10,1,9,1,30,0,64000.0,1,1,0,0,1
6,1,11,0,50,1,141000.0,1,1,0,0,1
6,1,7,5,86,1,84800.0,1,1,0,0,1
6,1,4,2,79,1,195000.0,1,1,0,0,1
7,1,1,6,14,0,189000.0,1,1,0,1,1
6,1,10,6,40,0,34600.0,1,1,0,0,1
6,1,9,4,29,1,54300.0,1,1,0,0,1
6,1,13,6,19,1,78000.0,1,1,0,0,1
8,0,16,6,4,1,55600.0,1,1,0,0,1
6,1,10,6,68,1,326000.0,1,1,0,0,1
10,1,15,6,87,0,1500.0,1,0,0,0,1
13,0,5,6,55,1,214000.0,1,1,0,0,1
6,1,11,3,60,0,181000.0,1,1,0,0,1
6,1,7,5,27,1,7000.0,1,1,0,0,1
3,1,15,6,78,1,1660000.0,1,1,0,1,3
