is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,285.0,22600.0,21192975.0,691.0,4381,6,1,54,1,11,0,56,1,1
0,9104.0,305000.0,194460221.0,5604.0,4908,6,0,18,1,17,0,51,0,1
0,10835.0,480000.0,261404564.0,1455.0,6138,13,1,45,1,3,6,24,1,1
0,691.0,29700.0,8165240.0,1167.0,2752,6,0,45,1,12,1,79,1,1
0,1297.0,11300.0,5845505.0,176.0,1334,10,1,54,1,16,6,42,0,1
1,10.0,24500.0,12267320.0,4941.0,1183,10,0,53,1,2,3,49,1,1
0,417.0,11600.0,28296300.0,2252.0,1112,6,0,18,1,1,4,18,1,1
0,14699.0,1340000.0,577834102.0,3912.0,1682,6,1,45,1,16,6,76,1,1
0,474.0,12400.0,3279097.0,575.0,2969,6,1,45,1,2,4,100,0,1
0,837.0,181000.0,38700239.0,753.0,1003,6,1,54,1,10,6,53,0,1
0,832.0,8420000.0,2639429372.0,1654.0,1661,6,0,54,1,5,4,59,1,2
0,733.0,474000.0,202384295.0,17351.0,2254,9,1,45,1,10,2,72,1,1
0,548.0,22000.0,8532590.0,346.0,448,6,1,18,1,13,3,32,1,1
1,41.0,29900.0,19608010.0,520.0,638,2,0,45,1,4,5,61,1,3
0,2235.0,69700.0,29903802.0,1535.0,5519,6,1,45,1,15,0,76,1,1
0,1031.0,71700.0,28592614.0,741.0,1646,6,1,18,0,8,1,80,0,1
1,36.0,2510000.0,2055988914.0,39848.0,3787,4,1,18,1,8,5,23,1,1
0,222.0,65400.0,18267640.0,101.0,4153,10,1,54,1,12,4,50,0,1
0,1302.0,271000.0,180747826.0,9682.0,4558,6,1,45,1,3,5,59,1,1
0,492.0,110000.0,30775972.0,545.0,2459,6,0,18,1,11,2,44,1,1
0,37220.0,11500.0,2446977.0,1871.0,2447,6,0,45,1,2,5,48,1,1
0,2165.0,25600.0,6232781.0,643.0,2803,6,0,45,1,10,0,22,0,1
1,18.0,808000.0,1694366026.0,649.0,1058,8,1,19,1,13,6,63,1,3
0,124.0,44400.0,41056469.0,471.0,1759,6,1,18,1,6,6,18,0,1
1,36.0,119000000.0,20143447644.0,354.0,6496,10,1,53,1,9,3,28,1,3
0,522.0,6370.0,1112332.0,42.0,6174,6,0,18,1,9,4,15,0,1
1,60.0,1770000.0,4841489264.0,37852.0,4882,4,1,45,1,4,2,23,1,1
0,3995.0,580000.0,396654981.0,10494.0,4452,6,0,54,1,7,1,44,0,1
0,11943.0,17600.0,2312078.0,13.0,449,4,1,45,1,0,6,92,1,1
0,453.0,2020.0,470819.0,37.0,188,6,1,39,1,9,3,26,1,1
0,806.0,62900.0,11749893.0,405.0,4434,6,0,18,1,12,3,85,1,1
0,1325.0,317000.0,51411983.0,332.0,3875,6,1,10,1,10,3,34,1,1
0,1400.0,782000.0,194188098.0,680.0,5118,2,0,18,1,13,2,47,1,1
0,859.0,1080000.0,310909106.0,823.0,3720,4,0,54,1,10,1,12,0,1
0,1228.0,248000.0,144419891.0,1651.0,4244,6,0,45,1,9,2,42,1,1
0,328.0,859.0,877971.0,6.0,673,8,0,54,1,13,4,58,1,1
0,1975.0,29100.0,7137552.0,183.0,927,6,1,18,1,10,2,35,1,1
0,1180.0,56200.0,9953995.0,372.0,4434,6,0,18,1,12,0,65,1,1
0,1011.0,196000.0,147321962.0,2724.0,4677,6,1,45,1,4,3,25,1,1
0,333.0,3810000.0,1757011078.0,1528.0,1656,4,1,54,1,9,5,93,1,1
0,188.0,2930000.0,1267280979.0,34335.0,6763,13,1,44,1,13,3,73,1,1
0,320.0,31700.0,15519862.0,310.0,531,6,1,54,1,7,3,41,1,1
0,9116.0,194000.0,38309799.0,342.0,2110,13,0,52,1,14,6,54,1,2
0,39599.0,53100.0,42262258.0,3297.0,1822,6,1,45,1,22,6,98,1,1
0,198.0,163000.0,113824103.0,37.0,4786,8,1,18,1,12,3,53,1,1
0,65.0,10200.0,8205705.0,562.0,771,10,0,18,1,20,4,49,0,2
1,16.0,34000.0,36927200.0,4299.0,1271,14,1,18,1,13,6,15,1,1
0,583.0,80100.0,15785482.0,262.0,4844,6,1,45,1,10,3,35,1,1
1,16.0,3730000.0,6461198906.0,6409.0,5708,8,1,45,1,13,1,47,1,1
0,949.0,20300.0,12010036.0,647.0,1412,6,0,6,1,10,4,21,1,1
0,21000.0,278000.0,138987377.0,2682.0,2563,6,0,41,1,16,4,25,1,1
0,183.0,4160000.0,1003837376.0,111.0,2352,8,1,54,1,5,2,31,1,3
0,16236.0,112000.0,35946392.0,3234.0,6648,6,0,18,1,19,1,39,1,1
0,684.0,11800.0,7150314.0,329.0,2247,5,1,47,1,11,0,60,1,1
0,177.0,19200.0,9852550.0,851.0,719,10,1,18,1,7,1,41,1,1
0,628.0,195000.0,134032671.0,1928.0,6400,6,1,45,1,13,0,67,1,1
0,834.0,532000.0,145784387.0,664.0,4614,6,1,45,1,13,5,31,0,1
0,10740.0,15200.0,1986037.0,73.0,413,10,1,18,1,12,0,60,0,1
0,700.0,52200.0,1319882.0,46.0,1332,6,1,45,1,10,3,87,1,1
0,13026.0,11300.0,536071.0,13.0,1231,6,1,45,0,15,6,29,0,1
0,86.0,3870000.0,1812754871.0,1550.0,1656,4,0,54,1,9,2,63,1,1
0,605.0,1230000.0,515872983.0,692.0,3848,10,1,45,1,10,6,59,0,1
0,886.0,758000.0,403607286.0,2638.0,4276,6,1,45,1,11,3,21,1,1
0,4920.0,385000.0,274545609.0,5042.0,7065,6,1,45,1,9,2,36,1,1
0,5873.0,49800.0,43757901.0,95.0,2642,8,0,18,1,14,1,3,0,1
0,22800.0,37000000.0,3716064657.0,1548.0,3595,6,1,53,1,12,0,22,1,3
0,1869.0,15800.0,7188437.0,708.0,381,10,1,53,1,9,1,6,0,1
0,105.0,60200.0,27496708.0,1312.0,1466,10,1,53,1,8,4,89,1,1
0,147.0,12200.0,16661464.0,12.0,2090,8,1,45,1,12,4,42,0,1
1,18.0,41700.0,28779585.0,1332.0,1824,10,0,54,1,15,0,34,1,1
0,187.0,56.0,20892.0,17.0,3046,10,1,53,0,5,0,56,0,1
0,7024.0,78300.0,12999289.0,101.0,486,10,1,53,1,2,4,87,0,1
0,824.0,379000.0,53634334.0,2079.0,6288,9,1,45,1,10,4,49,1,1
1,13.0,24900.0,18951887.0,673.0,542,10,1,18,1,3,1,5,1,1
0,669.0,15200.0,10380744.0,1547.0,1396,6,0,54,1,10,2,49,0,1
0,871.0,144000.0,53910754.0,2626.0,1262,5,1,53,1,11,2,31,1,1
0,212.0,1420.0,4190737.0,28.0,943,8,1,54,1,23,4,2,1,1
0,2238.0,26300.0,25289520.0,5164.0,5116,6,0,18,1,3,3,36,1,1
1,20.0,1050000.0,565313936.0,840.0,3179,4,1,45,1,12,3,10,0,2
0,1051.0,524000.0,275585549.0,1623.0,4467,6,1,45,1,9,0,50,1,1
0,7300.0,462000.0,253543195.0,72820.0,5665,9,1,45,1,8,4,100,1,1
0,1638.0,317000.0,101378988.0,943.0,1935,6,1,45,1,10,0,51,1,1
0,39712.0,1220000.0,188074072.0,2109.0,1334,6,1,54,1,19,2,49,1,3
0,1016.0,192000.0,38158357.0,205.0,1300,6,1,45,1,2,6,37,0,1
0,574.0,52100.0,15407800.0,545.0,3431,6,0,45,1,9,5,30,1,1
0,956.0,57000.0,65647895.0,2634.0,2158,6,1,45,1,13,4,51,1,1
0,1405.0,326000.0,45910401.0,381.0,3486,6,1,54,1,13,5,40,1,1
0,482.0,172000.0,80656984.0,1155.0,1786,6,1,18,1,2,2,31,1,1
